1,7701,20305,24206,24935,25086,25088,25089,33996,35879,37731,40764,41357,42362,42395,43470,43708,45944,49003,49629,49649,50502,53013,53069,58188,59792,60438,60449,61965,62275,62934,64606,65551,66609,72195,73965,74111,74717,75391,77134,78283,78665,78739,81682,81692,83715,84137,85141,88952,89349,89433,90712,91808,94395,96828,98371,98425,100274,101059,101549,101884,101930,102610,102611,102626,102959,104616,105036,105160,108694,109668,113070,113071,115057,115641,116500,119193,119455,119829,120896,121964,124031,124464,128547,128852,128985,130836,131038,131077,131528,131553,132286,134322,135443,137088,139451,141486,143911,144280,152854,153434,155119,156377,157143,163715,163751,164068,164743,165403,166734,168085,170545,170742,170912,171385,172036,173621,178175,178237,179393,179665,183772,183906,183907,185085,187005,187153,190970,192780,193361,193771,193946,193996,195362,197054,198583,198727,200355,201118,201993,202009,202827,202842,203498,203523,204196,207946,209732,209975,212956,213176,213183,213444,213814,220109,221263,223020,223819,225268,225489,236902,237906,242293,244733,247478,250103,256700,258042,260469,260556,260963,264039,264058,265471,271712,273919,275343,275576,277012,277014,277687,279308,282334,283740,283743,283744,284678,290480,293669,296512,297479,300185,304001,305180,306071,310069,312912,315075,315078,315123,315124,315135,315136,315137,315138,315143,315332,315333,315941,317234,319473,320111,322807,322888,323021,327736,328821,335068,337080,340265,340536,344523,344896,347593,348297,351470,351472,352530,352657,359503,360176,360212,361776,363053,365182,366460,367926,368428,370364,371355,379035,383481,386671,386761,387261,387439,388338,389281,393145,393651,399360,400956,400957,400966,401007,405773,407423,416998,417806,417849,417854,418358,419041,419506,422785,427741,430337,430344,431651,432029,432050,432271,435711,436393,437856,438954,438986,439252,439411,441177,441542,451617,452676,456120,456579,456950,456971,457232,458119,458305,459006,459345,460135,460156,460309,461158,462739,463890,463918,463999,464189,464978,465004,465005,465006,465007,465008,465009,465010,467956,474546,477406,481487,481930,484544,485618,486616,486698,488005,491422,492113,493335,493870,494198,495121,495904,497237,500579,501738,503596,505074,505619,506520,507385,508526,512594,515174,516890,517703,518063,518990,518992,519512,519873,520457,521624,524820,525649,526054,526517,526656,527795,529174,530781,531563,532946,535511,536028,536113,536487,537430,538444,541573,544120,544310,548112,548273,548604,548686,551213,551757,552344,553981,558861,559764,561440,562216,563845,565585,567463,568128,571901,573589,575953,580069,583830,586197,587055,588076,593254,595743,595769,597129,602462,607906,608383,608384,609020,609955,610983,611438,612264,612947,613905,614561,616479,617577,621396,621534,624177,625663,625665,627947,628279,629402,630258,630315,630672,630914,636540,638308,638813,642163,642182,643581,645898,647655,648363,652720,654768,655418,656592,658459,660264,661621,661995,662234,662425,663156,664500,666297,667256,672168,674714,676012,676013,676211,681396,682314,684738,686536,687393,689518,689579,689680,689681,692911,693095,693499,694773,697671,697829,698075,698534,699744,704068,705347,707559,707757,707991,710008,710287,710769,711112,711326,712115,713333,714873,721422,722777,722834,723295,723685,726653,727575,728478,729278,729562,730826,731258,731984,732674,735904,736471,739118,740026,740637,742051,742888,743403,743604,743719,744208,745056,745732,745948,747983,750689,753337,754786,755242,758992,763027,763421,763991,764371,766189,766934,767175,770479,770789,771303,773573,774291,774481,774887,775491,775908,776842,777625,777631,779483,779719,780076,780688,781838,782271,785343,785864,789542,791119,792327,794593,797173,798213,799428,801177,801525,802982,803412,803595,805566,806251,808755,808982,811737,811946,813356,815484,815761,816834,817210,817716,823241,823498,824013,825820,827543,828886,831360,831543,831645,832972,834173,835478,836204,836359,840767,843260,845033,845454,845517,848874,849451,849666,851772,852630,853841,855353,856686,857275,857788,857805,860990,861528,862895,862906,864267,866632,867717,867833,868560,868843,868844,870134,871288,872737,873386,874208,877567,878268,879117,880502,881671,881712,883800,884751,885274,886068,887384,892095,896338,897191,898027,898739,900044,900045,901597,902754,904511,905060,905136,905337,905651,908643,910237,911566,913228,913340,913893,914775,914948,915624,916211,918114,918451,918713,919480,919948,920248,922762,924466,924556,927024,928353,928703,928810,929004,931481,931535,935921,936476,936568,939828,939876,939877,941007,941261,941652,942202,943512,943689,946121,946134,946349,946821,948584,949019,954231,954501,954986,955299,956344,957797,957995,958285,958566,961023,961200,963059,963911,965196,967669,968410,968479,970434,971294,971638,971798,972034,975113,985643,985827,986365,988067,989398,990568,991558,992113,992531,992778,992781,992782,992784,992785,993125,993129,993130,993845,994203,995650,996451,998651,999149,999280,1000191,1000200,1000477,1000520,1003346,1004342,1004743,1005652,1005770,1005944,1006005,1006221,1007601,1007725,1007921,1009312,1010780,1011166,1011939,1012567,1012954,1013417,1013523,1015411,1015860,1018292,1018958,1019640,1020307,1022548,1023448,1023577,1028883,1028989,1031415,1031740,1031800,1033505,1033904,1037034,1047162,1047167,1047306,1047776,1048135,1050174,1051294,1051970,1053337,1053402,1053633,1054208,1054374,1054384,1054683,1057417,1057889,1058721,1059608,1061161,1063004,1066190,1066651,1067787,1068899,1069620,1069925,1071136,1077865,1078681,1078682,1081894,1082669,1084156,1085204,1085539,1085615,1087893,1088317,1088496,1088600,1088631,1093152,1093806,1093863,1095890,1101726,1104430,1104901,1104961,1105774,1105899,1106778,1108069,1109077,1109712,1112813,1115112,1116362,1116381,1116384,1118072,1118290
qid:496,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,2.0,,,,0.0,,7.0,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,2.0,,,,,,0.0,,0.0,4.0,,,,,1.0,,,,,,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,3018.0,,,,37.0,,,,,,,,18516.0,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,0.0,,,,,,,,,,,,,,,,,,,,140.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,
qid:4975,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,4.0,,,,,0.0,0.0,,,2.0,540.0,,,,,,,,,,7.0,,,,,0.0,,,,,,2.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,3.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,64.0,,,,,,,0.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,0.0,,3.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,1.0,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,4064.0,,,,,,0.0,,,1.0,,,2.0,,,0.0,,,2.0,1.0,,,,,0.0,1.0,,,,2.0,,,0.0,,,,,,,1.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,0.0,,2.0,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,5.0,,,,0.0,15.0,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,6.0,,,,0.0,,,,
qid:4981,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,,,,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,
qid:5002,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,630.0,630.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,40.0,0.0,,,,64.0,,,,0.0,,0.0,,,,0.0,1061.0,,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,0.0,29.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,1.0,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qid:5011,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,3.0,0.0,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1.0,,,,,,62.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,23.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,12.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,5.0,,,,0.0,,,,,1.0,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,,,0.0,,,,5979.0,,,,,,,,,,,25.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,1.0,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,4.0,16.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,15.0,,0.0,,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,44.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
qid:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,1.0,,,,,,,,0.0,,,,,0.0,,,,13.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,
qid:5032,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,655.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,18.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,29.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,475.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,357.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,
qid:5035,,,,,,,,,89.0,7.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,14.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,0.0,4.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,
qid:5038,,,,,,,,,,,,,0.0,,,,,,,,0.0,,2.0,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,3.0,,,,,,,,,2.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,4.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
