1,88,671,2535,15095,17134,17135,19164,19215,20391,22051,24820,27196,27977,28565,30106,30525,30616,30617,30621,30625,30626,31186,31919,32426,33506,33684,34510,34511,34525,34526,34527,34592,35512,36308,37457,38006,38402,39657,40893,41335,42007,42129,42407,43672,45306,46153,46654,47440,48398,50141,53935,54462,55414,56345,57734,58476,59235,63649,66953,69427,72142,72769,73485,73651,77212,77240,80710,81335,82809,83053,83875,83896,84487,86462,88095,90072,90392,90902,92352,92604,93999,94780,101438,102064,108518,110059,113047,114115,114482,115557,116005,116227,118291,119005,119903,125801,129698,132163,133369,134136,134285,134287,134322,134830,135131,136318,136661,136970,138044,139900,139993,140086,140445,141767,143377,146272,147327,150852,151087,152308,152495,152836,155375,155499,156273,158899,158900,164690,170273,170449,171920,174029,175279,182128,182137,182565,183088,183569,183716,183791,185263,185718,187987,188243,188749,190475,190477,191346,195336,196503,197450,198496,199435,199469,202513,204074,204542,204557,204661,205180,206406,206488,207499,208610,209560,210550,210980,211003,211048,213388,215283,216106,217519,218304,221653,221664,224897,226254,226525,229764,230066,230135,231193,233378,233698,236095,237058,238329,239542,240488,240616,240788,241067,241776,242822,243295,244937,246597,248370,250000,250389,251797,253855,253910,253937,254413,256201,257731,258451,259732,261258,266239,266412,267888,268669,270168,273602,274005,274981,275394,275665,276990,279696,279920,280288,285584,288808,289016,290452,291206,291287,292521,293263,293744,295145,299496,300487,300795,301877,306662,309235,326244,327347,329906,329924,330909,333961,339326,342053,343049,343862,343974,347056,347519,348836,351077,351115,351357,351817,353861,354236,356750,356862,357227,357870,357876,361346,364469,365252,368382,368528,373695,377750,377892,383084,384580,384654,385014,385484,392775,394131,395261,396347,397044,397131,398815,405668,406132,406495,407480,409073,409396,410296,412040,414122,414282,414852,416039,418534,420683,422725,425620,426395,426725,428929,431603,431900,432258,432341,432694,433752,434138,437118,438669,443418,443618,449556,449868,451615,454482,454542,455966,461234,461414,461555,461631,469447,469829,470755,471789,474114,474433,474533,481384,481830,482765,486096,487854,488304,490967,491594,496399,496701,500042,502701,503807,503930,507365,507559,509498,510835,511073,511535,511872,515282,516244,517021,520909,520910,521047,521048,521207,524648,525256,526573,527883,530685,531090,531260,531475,532183,532572,532803,535376,537766,538391,542426,544471,547622,548662,553035,554005,555425,555893,555916,557908,558183,558312,560809,560840,561332,562518,563485,563965,565575,566491,567012,567624,567999,568065,568240,569617,571375,573073,574306,574762,576667,579542,580434,580435,580465,580669,580956,581396,581397,581441,581658,583579,584293,585312,585950,586860,587108,587155,587393,587617,590274,591383,591678,591813,592107,592459,592482,592501,592643,593127,595764,596761,597129,597193,598779,600138,601514,601819,602359,602360,602361,603711,604997,605258,605278,606001,607313,607356,607473,609327,609419,609483,610201,613160,613274,613443,614182,620518,627110,629086,631192,633390,633879,635989,636441,636752,636907,640671,641151,643514,644004,645940,647404,647969,648036,651183,652211,658326,660031,662701,665221,666370,667822,667997,668237,672085,673612,673618,673638,674191,674410,675077,678817,680214,680716,684694,685770,685796,686190,686270,686299,688830,691019,691961,692659,692906,693178,694070,694650,695482,696907,697090,697357,700105,702076,702805,702913,703162,704882,707270,709633,712002,714042,715163,715561,718239,719205,719463,720564,722862,724119,725846,726382,727436,728978,729700,731658,731744,731756,735179,737038,738725,739180,739390,743430,745685,746869,749924,750225,751032,751106,751235,751803,752668,753337,754540,754977,755371,756069,756083,756782,757024,757220,759163,763405,765057,766934,768889,769224,771284,771867,772091,772092,772821,775393,776060,778068,779386,780564,783433,784815,785211,786164,788990,790886,791307,791662,791886,793734,793773,798010,798709,799541,800150,800453,800527,804151,804507,805845,808237,809176,815547,816514,816834,820769,823082,823910,824860,826584,831430,831878,831919,833630,833968,834042,834574,834850,836653,837190,838887,839053,841974,843140,843303,843408,844993,846443,847178,848039,850133,850200,851123,851373,852837,853301,853804,854089,854221,854660,854920,857557,857587,858964,859044,859208,861865,865045,869111,870175,871829,872058,875490,876260,876279,877921,880247,883754,885253,885639,888321,888351,889807,892163,892166,892956,893596,897659,898058,898335,901371,902809,903017,903147,903252,905235,905975,910201,912271,912612,913028,913780,914302,915150,918038,918519,919212,919948,920155,921620,921636,922004,922878,924128,927096,928150,928489,929510,931164,931487,931935,933339,934340,934683,935416,935915,936438,936840,937181,937422,938414,939487,939498,939540,941125,941655,941695,942479,942487,943506,944188,947612,947695,948964,950044,950047,950658,951667,952681,953202,953649,954519,956401,957876,958840,959799,959958,962345,962838,962872,963418,966134,967301,967693,967707,969426,969536,973460,974043,974860,975131,979557,980128,980923,982213,982804,982821,983649,985185,986528,986547,988855,989938,992447,992562,996218,996566,997120,999162,1000160,1001455,1001724,1004550,1004614,1004799,1007755,1007770,1007833,1008970,1009849,1010098,1013096,1013837,1014735,1016575,1018257,1019265,1020590,1020718,1020948,1021608,1021625,1021981,1022080,1024518,1024531,1024540,1024822,1025954,1025964,1026045,1026317,1026620,1029636,1033107,1033149,1034058,1034260,1034924,1035197,1036263,1036581,1042159,1044207,1046399,1050914,1051867,1051967,1055325,1055337,1055338,1055340,1055870,1056455,1056774,1056975,1058486,1060085,1060852,1061089,1063421,1064471,1064702,1065575,1065971,1066041,1066892,1068621,1069380,1070146,1070622,1071578,1071809,1072308,1073556,1074621,1076562,1078315,1078316,1083927,1084010,1084486,1085147,1087135,1093243,1094815,1095631,1095966,1097596,1097803,1100024,1100958,1100983,1102257,1104317,1105334,1105641,1106799,1108545,1110466,1110924,1112250,1115106,1116654,1117622,1117623,1117812
qid:781,,,,,,,,,,,,,,,,,,,,,,,,,31235.0,,,,,,,,,,,,,,,,,,1.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,7920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,,,3.0,,,0.0,,0.0,,,,0.0,7.0,,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,22.0,,,,,,,2.0,,,,,,,,,,,,,,,,5.0,,,,,,32.0,,,,,,,,,,,,,,3.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,197.0,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.0,,,,,,,,,,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,8.0,,,12.0,,,,,,,,,,,,,,,,
qid:7822,,,,,,,,,,0.0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,13.0,,,0.0,,,0.0,,,,,,0.0,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,5.0,,,,,,73.0,,,,,,0.0,,,,,,,,,,158.0,,,,,,,,9.0,,,,,,,2.0,,,,,0.0,,,,2.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,4.0,,,,,,0.0,,,,,,2941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,85.0,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,290.0,0.0,,,,,,,0.0,,,,,,3.0,0.0,,,,,,,,,,,,,,,7.0,,0.0,,,0.0,,,,,,,,,,1.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,1.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,1343.0,,1.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,0.0,,,,,,,,,,,7.0,,,,,,,,,,,,24.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,7.0,,,0.0,8.0,,,,,,,,,6.0,,0.0,,,,,,,,,,,0.0,,,23.0,,,,,,,,,1.0,,,,,,,,,95.0,,,,,,,0.0,,,,,,,2.0,,1.0,,,,,,,,,,,0.0,12.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,15.0,,,,,,0.0,,,1.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,8.0,,,,,,,,,0.0,,,,,,,,,4.0,,,,,,,,,212.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,7.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,144.0,,4.0,,9.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,
qid:7831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,0.0,6.0,,,,,,1.0,0.0,,0.0,0.0,,,,,,,,,,,,6.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,3.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,7.0,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,281.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,41.0,41.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,,1.0,,,,14.0,,,,0.0,0.0,0.0,,8.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,6.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,23.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,4.0,8.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
qid:7837,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,182.0,,,,,,,,,,0.0,,,,,1.0,0.0,,,,,,,,,2.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,221.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,631.0,,,0.0,,0.0,,,,,0.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,269.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,,1.0,,,,,,,,,,101.0,,,,,0.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,3.0,0.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.0,,,,,6.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,57.0,,181.0,,,,0.0,,,0.0,,,,,,102.0,,968.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qid:784,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,0.0,,,1.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,16.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3526.0,3587.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,50.0,,,,,,,,0.0,,8227.0,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8587.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,56.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,4064.0,0.0,50.0,0.0,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,79.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,31.0,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0
qid:7840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576694.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,8.0,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
qid:7843,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,7.0,2.0,,,,,,,,,,0.0,,,,,,,,23.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,71.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,0.0,204.0,57.0,,,0.0,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,1.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,9.0,,,,0.0,,,,2.0,,0.0,,,,,,,,,,,1.0,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,13.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,8.0,0.0,,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,3.0,,0.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
qid:7855,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,20.0,0.0,,,,,,,,,,,,,,,,30.0,,,,0.0,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,24.0,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,760.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,90.0,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,478195.0,0.0,,,,,,,,,,0.0,,,,,11.0,,,,0.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,133.0,,,76.0,,,,0.0,,,,,0.0,,,,,,,,70.0,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,0.0,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,
qid:7861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,46376.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,1.0,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,3018.0,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,2.0,,0.0,,,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,3.0,0.0,,,,,0.0,,,,,,0.0,,0.0,,,0.0,0.0,2.0,,,,0.0,0.0,,,,0.0,,,,,,,5.0,,,,0.0,0.0,,,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,,,2.0,,,0.0,,,
